Sr.,Taxpayer Name,Registration No.,Tax Paid
155,9 TRAVEL & TOURS (PRIVATE) LIMITED,7930122,-
156,92 MARKETS (PRIVATE) LIMITED,7460674,-
157,92S TRAVELS & TOURS (PVT.) LIMITED,7327857,"3,708"
158,99 CONSULTING (PRIVATE) LIMITED,3966753,-
159,99 INDUSTRIES (PRIVATE) LIMITED,7590731,-
160,99 SOLUTIONS (PVT.) LIMITED,7198253,-
161,9DOT CONCEPTS (PRIVATE) LIMITED,8929384,-
162,9S INTERNATIONAL (PVT) LTD,4358450,-
163,9TO5PLUS (SMC-PVT.) LIMITED,7362843,-
164,A & A HEALTH CARE (PVT.) LIMITED,7426489,-
165,A & A METAL INDUSTRIES (PRIVATE) LIMITED,1615598,"1,236,423"
166,A & A SERVICES (PRIVATE) LIMITED,2829597,-
167,A & A'S RESEARCH & INTEGRATED DEVELOPMENT CONSULTANTS (PRIVATE) LIMITED,7988602,-
168,A & B BOTTLING COMPANY (PRIVATE) LIMITED,709315,-
169,A & B FOOD INDUSTRIES (PRIVATE) LIMITED,709333,"3,205,598"
170,A & B LUBE SERVICES (PVT.) LIMITED,7488390,"6,573"
171,A & G CUMBER FAMILY CHARITABLE TRUST,7606146,-
172,A & H CONSULTANTS (PRIVATE) LIMITED,4196072,"10,372"
173,A & H TRAVEL AND TOURS (PVT.) LIMITED,7141233,-
174,A & J APPARELS (PRIVATE) LIMITED,704117,"1,614,157"
175,A & J ENGINEERING (PRIVATE) LIMITED,4148877,-
176,A & K ENTERPRISES (PRIVATE) LIMITED,3760374,-
177,"A & M TOURS, TRAVELS AND EVENTS (PVT.) LIMITED",7143929,"16,738"
178,A & R CONSTRUCTIONS (PRIVATE) LIMITED,7623345,-
179,A & S CORPORATION (PRIVATE) LIMITED,4018653,-
180,A & S OIL INDUSTRIES (PRIVATE) LIMITED,4184642,-
181,A & S PAINT INDUSTRIES (PVT.) LIMITED,7577365,-
182,A & SADDIQUE SERVICES (PRIVATE) LIMITED,7964812,"1,352,996"
183,A & U MERCANTILE (PRIVATE) LIMITED,4103933,"2 87,233"
184,A & W ASSOCIATES (PRIVATE) LIMITED,3811628,"1,318,143"
185,A & W INDUSTRIES (PRIVATE) LIMITED,3136299,"8,238,271"
186,A & Y FOOD INDUSTRIES (PVT.) LIMITED,8895446,-
187,A & Z AGRO INDUSTRIES (PRIVATE) LIMITED,1894539,"12,142,034"
188,A & Z ENTERPRISES (PRIVATE) LIMITED,2071391,"1,712,115"
189,A & Z FEEDS & ALLIED PRODUCTS (RIVATE) LIMITED,4322172,-
190,A & Z OILS (PRIVATE) LIMITED,3283968,"13,765,211"
191,A . KARIM & SONS ENGINEERING ( (PRIVATE)) LIMITED,1357418,"13,794,699"
192,A . M . ENTERPRISES (PVT) LIMITED,3909037,"1 28,509"
193,A 1 BUSINESS MASTER (SMC-PRIVATE) LIMITED,8928801,-
194,A 2 Z CONSULTANTS (PVT.) LIMITED,2530799,"6,510"
195,A 2 ZEE ESTATE & BUILDERS (PVT.) LIMITED,7963246,"2 87,230"
196,A 2 ZEE MEDIA TECHNIQUES (PRIVATE) LIMITED,7476400,-
197,A A BALOCH BROTHERS BUILDERS & DEVELOPERS (PRIVATE) LIMITED,7955065,-
198,A A EXCHANGE COMPANY (PRIVATE) LIMITED,2128364,"10,466,101"
199,A A PAPER (PRIVATE) LIMITED,3789794,-
200,A ALI ENGINEERING WORKS (PRIVATE) LIMITED,7942047,"3,332"
201,A AND O INTERNATIONAL PRIVATE LTD,4363748,-
202,A B M SECURITIES (PRIVATE) LIMITED,2047278,"3 80,172"
203,A B S ENGINEERING CORPORATION (PRIVATE) LIMITED,676547,"7,235,643"
204,A BEST WAY ENTERPRISES (PRIVATE) LIMITED,7400166,"44,040"
205,A G ADVERTISING (PRIVATE) LIMITED,4377782,-
206,A G CABLE NETWORK (PRIVATE)LIMITED,4277617,-
207,A H PETRO GAS (PVT.) LIMITED,7398787,-
208,A HAMSON (PRIVATE) LIMITED,2100837,-
209,A I GARMENTS INTERNATIONAL (PRIVATE) LIMITED,3228977,-
210,A I SECURITIES (PRIVATE) LIMITED,3152008,"1,055,524"
211,A J SOFTWARE PRIVATE LIMITED,4346090,-
212,A K SOLAR AND WINDS SYSTEM (SMC-PRIVATE) LIMITED,4317146,-
213,A KHAWAJA TRAVEL & TOURS (PRIVATE) LIMITED,7544903,-
214,A L TEXTILES (PRIVATE) LIMITED,1454826,"31,682,845"
215,A LIST (PVT.) LIMITED,5072020,"48,042"
216,A M AND M J BUILDERS,4405135,"8,214,424"
217,A M WORLD (PRIVATE) LIMITED,7433428,"6,662"
218,A ONE HOLIDAYS (PRIVATE) LIMITED,4252408,"6,730"
219,A- ONE POULTRY (PVT.) LIMITED,3753989,-
220,A ONE TECHNIQUES (PVT) LIMITED,3178623,"7,012,421"
221,A PLUS A INTERNATIONAL (PRIVATE) LIMITED,3554325,"1,222,946"
222,A PLUS BUILDERS (PRIVATE) LIMITED,8955170,-
223,A PLUS CONSULTANTS (SMC-PRIVATE) LIMITED,7607426,"2,992"
224,A PURI TERMINAL (PVT.) LIMITED,3967314,"9 13,136"
225,A Q CONSULTANTS (PRIVATE) LIMITED,3117384,-
226,A Q EXPRESS PRIVATE LIMITED,4259111,"7,176"
227,A Q INVESTMENTS (PVT.) LIMITED,7216661,"38,765"
228,A R BUILDERS (PRIVATE) LIMITED,3262512,-
229,A R CHAUDRY INDUSTRIES (PRIVATE) LIMITED,3659513,"7 79,365"
230,A R M MANAGEMENT AND CONSULTANCY PRIVATE LIMITED,4292993,2
231,A R NUTRACEUTICAL PHARMA PRIVATE LIMITED,4360006,"19,648"
232,A R PROCESSING INDUSTRIES (PRIVATE) LIMITED,3361256,-
233,A R SOAP & CHEMICAL (PRIVATE) LIMITED,4185215,"1 16,737"
234,A S CONSTRUCTORS (PRIVATE) LIMITED,3345550,-
235,A S R ENTERPRISES (PVT) LTD,2741382,-
236,A S TRADING CO,137198,-
237,A TEL (PRIVATE) LIMITED,3246832,"7,579"
238,A TO ZEE SWITCHGEAR ENGINEERING (SMC-PVT.) LIMITED,7363686,"7 25,045"
239,A ZEE INTERNET SERVICE PROVIDERS (SMC-PVT.) LIMITED,5091305,-
240,A&A DEVELOPMENT MANAGEMENT (PVT) LIMITED,4329726,-
241,A&A FERROUS ENGINEERING (PRIVATE) LIMITED,8917318,-
242,A&S FOODS (PVT) LIMITED,4411548,-
243,A&T CONTRACTOR (SMC-PVT.) LIMITED,7207904,-
244,A. A. AGENCY (PRIVATE) LIMITED,3137129,-
245,A. A. ASSAC & COMPANY (PRIVATE) LIMITED,1191539,"6 21,748"
246,A. A. COTTON MILLS LIMITED,1846600,"10,210,984"
247,A. A. INTERNATIONAL AND DEVELOPERS (PRIVATE) LIMITED,2560856,-
248,A. A. JOYLAND (PVT.) LIMITED,829176,"7,501,487"
249,A. A. MALIK ENGINEERING (PRIVATE) LIMITED,8905086,-
250,A. A. QUALITY BUILDERS (PVT.) LIMITED,7224595,"2 87,946"
251,A. A. SPINNING MILLS LIMITED,1760677,"52,899,221"
252,A. A. TRACKER (PVT.) LIMITED,4009707,"2 18,414"
253,A. B. A ASSOCIATES (PVT.) LIMITED,7439423,-
254,A. B. EXPORTS (PRIVATE) LIMITED,1186926,"43,947,754"
255,A. B. P. INTERNATIONAL (PRIVATE) LIMITED,2277276,-
256,A. C. E. LABORATORIES (PRIVATE) LIMITED,1019357,-
257,A. C. T. INDUSTRIES (PRIVATE) LIMITED,709326,-
258,A. D. M. HAJJ UMRAH SERVICES (PRIVATE) LIMITED,3749638,-
259,A. E. FABRICS (PVT.) LIMITED,7376629,-
260,A. G. DADABHOY TEXTILES (PRIVATE) LIMITED,704110,-
261,A. G. E. & SONS (PRIVATE) LIMITED,1018795,"40,481"
262,A. G. FISHERIES (PRIVATE) LIMITED,1330521,"11,412,589"
263,A. G. K. CONSTRUCTION & TRADERS (SMC-PVT.) LIMITED,7132912,-
264,A. G. LLORIS (PVT.) LIMITED,7291769,"6 14,909"
265,A. H. K. D. SECURITIES (PRIVATE) LIMITED,1333508,-
266,A. H. TOURS & TRAVEL (PRIVATE) LIMITED,3167097,"7,755"
267,A. J. MIRZA PHARMA (PRIVATE) LIMITED,2212128,"13,743,995"
268,A. J. SPINNING MILLS (PRIVATE) LIMITED,1419651,-
269,A. J. TEXTILE MILLS LIMITED,1419650,"11,914,205"
270,A. J. WORLDWIDE SERVICE PAKISTAN (PRIVATE) LIMITED,2290208,"75,897"
271,A. K. NISA MOBILES (PRIVATE) LIMITED,7958597,-
272,A. KHAN PHARMA (PRIVATE) LIMITED,2240299,-
273,A. M. CONTAINERS (PRIVATE) LIMITED,3902076,"1 82,767"
274,A. M. SAEED SPINNING MILLS (PRIVATE) LIMITED,4252818,-
275,A. M. SOLAR SYSTEMS (PRIVATE) LIMITED,7942720,"1 28,355"
276,A. M. Z. SPINNING & WEAVING MILLS (PRIVATE) LIMITED,1157736,-
277,A. MAJID & COMPANY (PRIVATE) LIMITED,786152,"23,414"
278,A. MOOSAJEE SONS (PRIVATE) LIMITED,1689293,"1,974,547"
279,A. N. INDUSTRIES ( (PRIVATE)) LIMITED,2123596,"3,752,635"
280,A. NASEEB & SONS (PVT) LTD,4268025,-
281,A. Q. TEXTILES (PVT.) LIMITED,1223320,"1,882,836"
282,A. QAYYUM FAZAL MUHAMMAD (PRIVATE) LIMITED,944568,-
283,A. R. ASSOCIATES (PRIVATE) LIMITED,2494918,"4 92,290"
284,A. R. ENGINEERING (PRIVATE) LIMITED,3022260,"2,897,377"
285,A. R. FOODS (PRIVATE) LIMITED,657316,"1,164,934"
286,A. R. HUSAIN & COMPANY (PRIVATE) LIMITED,709322,"3 67,008"
287,A. R. KHAN & SONS (PRIVATE) LIMITED,1417124,"18,307,242"
288,A. R. LABORATORIES (PRIVATE) LIMITED,1538069,"7 55,011"
289,A. R. M. MINING (PRIVATE) LIMITED,3225257,-
290,A. R. O. (PRIVATE) LIMITED,709323,"2,190,927"
291,A. RAHIM FOODS ( (PRIVATE)) LIMITED,2141013,"10,413,666"
292,A. REGALIA (PRIVATE) LIMITED,704018,-
293,A. S. K VIRK TRAVEL & TOURISM (PVT) LIMITED,4339763,"15,302"
294,A. S. PAK CONTRACTORS (PRIVATE) LIMITED,4093408,-
295,A. SONS (PVT.) LIMITED,7262397,"25,250"
296,A. T. A. SKY TRAVEL & TOURS (PRIVATE) LIMITED,7895054,"1,891"
297,A. T. S. SYNTHETIC (PRIVATE) LIMITED,786227,"400,197,803"
298,A. U ENGINEERING & CONSTRUCTION (PVT.) LIMITED,7169658,"41,228,122"
299,A. W & COMPANY (PRIVATE) LIMITED,2281546,"18,193"
300,A. W. ENGINEERING (PVT.) LIMITED,7392324,"4 53,039"
301,A. W. GALADRI INVESTMENT (PRIVATE) LIMITED,709324,"1,376,900"
302,A. WAHEED MUGHAL & COMPANY (PRIVATE) LIMITED,2525314,-
303,A. Y. SERVICES (PRIVATE) LIMITED,1556932,"3 43,361"
304,A. Z TRADING COMPANY (PRIVATE) LIMITED,709334,-
305,A. Z. PACKAGES (PRIVATE) LIMITED,4206382,"2,345,488"
306,A. Z. PHARMACEUTICAL COMPANY LIMITED,1468189,"8 45,505"
307,A. ZB INTERNATIONAL (PRIVATE) LIMITED,5277561,-
308,A.A CABLE TV NETWORK NAWAB SHAH (PRIVATE) LIMITED,4212281,-
309,A.A FLOWMATIC ENGINEERING (PRIVATE) LIMITED,2768303,-
310,A.A JANITORIAL SERVICES (PRIVATE) LIMITED,7977073,-
311,A.A LOGICS (SMC-PVT.) LIMITED,7235023,-
312,A.A NETWORKS (PRIVATE) LIMITED,7975911,-
313,A.A STEEL (PRIVATE) LIMITED,7891304,-
314,A.A WOOLEN INDUSTRIES (PRIVATE) LIMITED,3046035,"18,195"
315,A.A. ETERNIT (PRIVATE) LIMITED,7491734,"4 19,712"
316,A.A. VALUATORS (PRIVATE) LIMITED,3670023,-
317,A.A.A PUBLICATIONS (PRIVATE) LIMITED,2816768,"4,542"
318,A.A.M. TRAVELS AND TOURS SERVICES (PRIVATE) LIMITED,7404356,-
319,A.B FABRICS (PRIVATE) LIMITED,7914478,-
320,A.B TECH (PRIVATE) LIMITED,7914435,-
321,A.B. PACKAGES (PVT.) LIMITED,3353099,-
322,A.B.A. (PRIVATE) LIMITED,679456,-
323,A.E.D (PRIVATE) LIMITED,1340332,"32,410"
324,A.E.K INDUSTRIES (PRIVATE) LIMITED,3540318,-
325,A.F FOODS (PVT.) LIMITED,7145070,"9 06,316"
326,A.F.CONTAINER SYSTEMS (PVT) LIMITED,3135264,-
327,A.G. & COMPANY SURGICALS LIMITED,679481,"67,884"
328,A.H PHARMACEUTICALS (PRIVATE) LIMITED,3622812,"1 29,260"
329,A.H SPORTS (SMC-PRIVATE) LIMITED,8897117,-
330,A.H STEEL INDUSTRIES (PRIVATE) LIMITED,5042323,-
331,A.H. SYED & COMPANY (PRIVATE) LIMITED,660006,"1,992,992"
332,A.H.S CONSTRUCTION & POWER DEVELOPMENT PVT LTD,3261198,-
333,A.H.S NETWORK (PRIVATE) LIMITED,8905502,-
334,A.H.Y PLASTIC INDUSTRY (PVT.) LIMITED,3155223,"47,289,330"
335,A.HAMID & COMPANY (PRIVATE) LIMITED,1535699,-
336,A.I.K. INDUSTRIES (PRIVATE) LIMITED,7913866,-
337,A.I.Z. ENGINEERING (PRIVATE) LIMITED,4026812,-
338,A.J INDUSTRIES (PRIVATE) LIMITED.,4276319,"1 68,146"
339,A.J SYNTHETIC & FOOTWARE INDUSTRIES (PRIVATE) LIMITED,2663854,"4,581,432"
340,A.J.CORPORATION (PVT.) LIMITED,7150230,-
341,A.J.HOLDINGS (PVT.) LIMITED,7245144,"186,536,039"
342,A.J.SECURITY SERVICES (PRIVATE) LIMITED,3417577,"1,631,447"
343,A.J.STEEL WIRE INDUSTRIES (PVT) LIMITED,3747643,"6,001,342"
344,A.J.T INTERNATIONAL TRADING (PRIVATE) LIMITED,4357225,-
345,A.K LOGISTICS (PRIVATE) LIMITED,2812830,-
346,A.K. ABRAHAM & CO (PRIVATE) LIMITED,7968794,"5,625"
347,A.K.INTERNATIONAL HAJJ & UMRAH SERVICES (PRIVATE) LIMITED,2624669,"34,577"
348,A.K.TEXTILES (PRIVATE) LIMITED,3652385,"1 89,142"
349,A.L.M. (PVT) LTD,222523,"11,041,836"
350,A.M HAFIZ TRAVEL & TOURS (PRIVATE) LIMITED,2559889,"28,551"
351,A.M MERCHANDISING (PVT) LTD,3096186,"16,658,995"
352,A.M TRAVELS & TOURS (PVT.) LIMITED,2727337,-
353,A.M. CONSTRUCTION COMPANY (PRIVATE) LIMITED,1166035,-
354,A.M. FABRICS ( PRIVATE ) LIMITED,1148692,-
355,A.M. REHMAN INTERNATIONAL CENTRE FOR RESEARCH (PRIVATE) LIMITED,3361147,-
356,A.M.B TRADING & FREIGHT (PRIVATE) LIMITED,3901003,-
357,A.M.ENGINEERING (PRIVATE) LIMITED,2852166,"6 33,813"
358,A.M.I GINNING & OIL MILLS (PRIVATE) LIMITED,101000,"1,233,731"
359,A.M.INTERNATIONAL TRAVELS HAJJ AND UMRAH SERVICES (PRIVATE) LIMITED,3981115,-
360,A.M.K. ENGINEERING (PRIVATE) LIMITED,786034,-
361,A.MSG (PRIVATE) LIMITED,7929091,-
362,A.N & SONS ENTERPRISES(PRIVATE) LIMITED,3837241,"7 07,148"
363,A.N.S ASSOCIATES (SMC-PVT.) LIMITED,7607223,-
364,A.N.TRADERS (PRIVATE) LIMITED,680176,-
365,A.O.L. APPAREL (PRIVATE) LIMITED,2899726,"2,509,360"
366,A.P.H.T.T-M-E-A,3170742,-
367,A.Q BUILDERS (PRIVATE) LIMITED,7964169,-
368,A.R APPARELS (PRIVATE) LIMITED,3706847,"4,279,833"
369,A.R HOSPITAL (PVT.) LIMITED,7280252,"1 95,654"
370,A.R KHAN AND COMPANY (PRIVATE) LIMITED,4278799,"95,703"
371,A.R. CHEMICAL & ELECTRONICS TRADERS (SMC-PRIVATE) LIMITED,7612650,-
372,A.R. GORAYA (PRIVATE) LIMITED,2733205,-
373,A.R. INFO SERVICES (PVT) LIMITED,4413906,-
374,A.R. METAL INDUSTRY (PRIVATE) LIMITED,3619489,"91,388"
375,A.R. PLASTIC (PVT.) LIMITED,4360714,"4 58,784"
376,A.R.AVIATION (PRIVATE) LIMITED,2601283,-
377,A.R.BHERWANI (PRIVATE) LIMITED,2610779,"50,607"
378,A.R.EXPORTS (PRIVATE) LIMITED,657299,-
379,A.R.F SOURCING (PRIVATE) LIMITED,3828964,"1,506,920"
380,A.R.M. PUBLICATIONS (PRIVATE) LIMITED,3760909,-
381,A.R.TELI (PRIVATE) LIMITED,3038446,"95,729"
382,A.R.TEXTILE MILLS (PVT.) LIMITED,4234563,"5 28,053"
383,A.REHMAN BROTHERS (PRIVATE) LIMITED,2671434,-
384,A.S KHAN CONSTRUCTION (PRIVATE) LIMITED,1216383,"15,373,128"
385,A.S MINING (PRIVATE) LIMITED,4222550,-
386,A.S QURESHI (PRIVATE) LIMITED,3755185,"73,526"
387,A.S TECHNOLOGY INTERNATIONAL (PRIVATE) LIMITED,4172117,-
388,A.S. FOREIGN EDUCATION CONSULTANTS (PRIVATE) LIMITED,3760796,-
389,A.S. PACKAGES (PRIVATE) LIMITED,3559160,"2,441,854"
390,A.S. PAPER PRODUCTS (PRIVATE) LIMITED,3263273,"2,708,682"
391,A.S. SECURITIES (PRIVATE) LIMITED,2241123,"65,309"
392,A.S. TRADING LINK (PRIVATE) LIMITED,7485944,-
393,A.S.B TRAVEL & TOURS (PRIVATE) LIMITED,4000762,"50,307"
394,A.S.R ASSOCIATES (PRIVATE) LIMITED,3047698,-
395,A.T. HARMAIN TRAVEL & TUORS (PRIVATE) LIMITED,3044520,"34,923"
396,A.T.ASSOCIATES PRIVATE LIMITED,3056270,"11,460"
397,A.T.C. PROCESSING (PVT) LTD,1468777,"12,247,766"
398,A.T.R TRAVELS AND TOURS (PRIVATE) LIMITED,3084766,"11,005"
399,A.T-ALFA (PRIVATE) LIMITED,4272953,-
400,A.U. OLEO CHEMICAL (PRIVATE) LIMITED,2592267,-
401,A.Z BROTHERS (PRIVATE) LIMITED,7429189,"2,110,301"
402,A.Z. AWAN (PRIVATE) LIMITED,4223998,"3 07,559"
403,A.Z. LABELS (PRIVATE) LIMITED,4106638,-
404,A.ZEESHAN TRADING (SMC-PRIVATE) LIMITED,7413403,-
405,A+1 ENGINEERING (PRIVATE) LIMITED,8889204,-
406,A-1 ENERGY SOLUTIONS (PRIVATE) LIMITED,5328592,-
407,A1 SUPPORT SERVICES (PRIVATE) LIMITED,2209282,"15,330,394"
408,A2A AVIATION (PVT.) LIMITED,4309936,"14,195"
409,A2SK ENGINEERING (PVT.) LIMITED,7273708,"86,771"
410,A2Y FOODS (PRIVATE) LIMITED,8951769,-
411,A2Z COMMERCIAL AND BUSINESS LINK (PVT.) LIMITED,7227091,"1,258,345"
412,A2Z CREATORZ (PRIVATE) LIMITED,8927836,-
413,A2Z E-PAYMENTS (PRIVATE) LTD.,2250436,"1,612,512"
414,A2Z TRADERS (SMC-PVT.) LIMITED,7256748,-
415,A3 CONSTRUCTION (PVT.) LIMITED,7271140,-
416,A3M TECHNOLOGIES (PVT.) LIMITED,7208035,-
417,AA AGRO DAIRY TECH (PRIVATE) LIMITED,8908924,-
418,AA ENGINEERING (PRIVATE) LIMITED,3380386,"2 14,834"
419,AA ESTATES (PVT.) LIMITED,4004933,-
420,AA FASHION ZONE (PVT.) LIMITED,7172491,-
421,AA HEAVENS (PRIVATE) LIMITED,4402660,"5 85,925"
422,AA HI -TECH ENGINEERING (PRIVATE) LIMITED,4160880,-
423,AA LEATHER (PVT.) LIMITED,1444646,-
424,AA LUBRICANTS (PRIVATE) LIMITED,4380267,"116,985,136"
425,AA MUCCADAM SERVICES (PVT.) LIMITED,7265861,-
426,AA SKY TRAVEL (PRIVATE) LIMITED,4380987,"2,206,492"
427,AAA BROAD BAND (PRIVATE) LIMITED,7491423,-
428,AAA BUILDERS (PRIVATE) LIMITED,8953722,-
429,AAA CONTRACTORS (PVT.) LIMITED,7192639,-
430,AAA DOUBLERS (PRIVATE) LIMITED,2124344,"8 59,966"
431,AAA ELECTRONICS INDUSTRIES (PRIVATE) LIMITED,1315073,"10,663"
432,AAA ENGINEERING CONSULTANTS PVT LTD,2853674,"3,219,563"
433,AAA FACILITY MANAGEMENT (PVT.) LIMITED,3265004,"19,543,337"
434,AAA FIN SOL (PRIVATE) LIMITED,2843466,"91,384"
435,AAA FIRE SYSTEMS (PRIVATE) LIMITED,4278802,-
436,AAA HEAVY EQUIPMENT (PRIVATE) LIMITED,3158022,-
437,AAA LEATHER WORKS (PRIVATE) LIMITED,4182897,-
438,AAA MOTION PICTURES & DIGITAL ENTERTAINMENT (PVT.) LIMITED,7148550,"30,295"
439,AAA PARTNERSHIP (PRIVATE) LIMITED,3251922,"12,387,666"
440,AAA PROFESSIONALS (PRIVATE) LIMITED,3787982,"6,878"
441,AAA PROJECT MANAGEMENT CONSULTANTS (PRIVATE) LIMITED,2941036,-
442,AAA SECURITIES (PRIVATE) LIMITED,2610443,"1 41,852"
443,AAA SERICES (PRIVATE) LIMITED,3003506,-
444,AAA SHIPPING & LOGISTICS (PVT.) LIMITED,4287105,"62,879"
445,AAA-MUJAHID (PVT.) LIMITED,7500789,"89,319,776"
446,AAAP COMMUNICATIONS (PVT.) LIMITED,4410861,"1 97,654"
447,AAB (PRIVATE) LIMITED,2076790,"2,319,451"
448,AAB NEED OF LIFE ORGANIZATION,7286580,-
449,AAB POWER (PRIVATE) LIMITED,3789795,-
450,AABAN NANO TECHNOLOGIES (PRIVATE) LIMITED,3625050,-
451,AAB-E-ZAM ZAM INTERNATIONAL (PRIVATE) LIMITED,3126859,-
452,AABPARA (PRIVATE) LIMITED,3362037,-
453,AABYAR E ALI HAJJ & UMRAH SERVICES (PRIVATE) LIMITED,3336622,"7,500"
454,AACHEE GARMENTS (PRIVATE) LIMITED,2225676,-
455,AADAM TRAVELS AND TOURS (PRIVATE) LIMITED,3108284,-
456,AAFAQ SEED CORPORATION (PRIVATE)LIMITED,4255522,-
457,AAGAZ FOUNDATION,7107118,-
458,AAGHOSH SEEDS COMPANY (PRIVATE) LIMITED,4217081,-
459,AAHU BARAH FOODS (PVT.) LIMITED,3986570,-
460,AAJ PAPER MILLS PRIVATE LTD,4356207,"2,230,563"
461,AAJSONS (PRIVATE) LIMITED,3764781,"2,812,889"
462,AAJSONS (PRIVATE)LIMITED,4130407,-
463,AAK COMMODITIES (PRIVATE) LIMITED,4275065,-
464,AAKASH EDUCATIONAL SOCIETY,5105266,-
465,AAKF RMC LIMITED,7239511,-
466,AAL BAWANY FOUNDATION,3541667,"3 60,799"
467,AALA O ARFA HAJJ SERVICES (PRIVATE) LIMITED,2637740,-
468,AALA PROCESSING INDUSTRIES (PRIVATE) LIMITED,2217943,"10,750,734"
469,AALAM BIBI TRUST,7132848,-
470,AALAMI MAJLISE TAHAFFUZE KHATME NUBUWWAT,7379493,-
471,AAL-E-ABA (PRIVATE) LIMITED,2461281,"5 49,901"
472,AALISHAN ENTERPRISES (PVT.) LIMITED,7199716,-
473,AALIYAN'S APPAREL (PVT.) LIMITED,7146878,-
474,AAM DEVELOPERS (PRIVATE) LIMITED,4245339,"5,565,042"
475,AAMACH HAJJ SERVICES (PRIVATE) LIMITED,4251223,-
476,AAMAZY HABITATION (PRIVATE) LIMITED,4334616,-
477,AAMI ENGINEERING PRIVATE LIMITED,4391629,"1 97,540"
